일자,전체 1차,전체 2차,전체 3차,전체 4차,화이자 1차,화이자 2차,화이자 3차,화이자 4차,모더나 1차,모더나 2차,모더나 3차,모더나 4차,아스트라제네카 1차,아스트라제네카 2차,아스트라제네카 3차,아스트라제네카 4차,얀센 1차·2차,얀센 3차,얀센 4차,노바백스 1차,노바백스 2차,노바백스 3차,노바백스 4차,기타 1차,기타 2차,기타 3차,기타 4차
전체누적,45055135,44588051,33303757,4110962,25447296,27017306,22335357,3492564,6812763,6638499,10867577,366608,11075850,9242535,1887,0,1516414,26873,14,120276,93170,65391,251776,82536,80127,6672,0
2022-06-01,84,455,630,2222,62,422,499,1685,0,1,61,311,0,0,0,0,0,0,0,22,32,70,226,0,0,0,0
2022-05-31,536,1311,4037,28114,303,1018,3221,22503,7,15,440,3250,0,0,0,0,1,0,0,225,277,376,2361,0,0,0,0
2022-05-30,516,1496,5242,25664,338,1230,4299,19611,0,11,529,3570,0,0,0,0,5,0,0,173,250,414,2483,0,0,0,0
2022-05-29,6,23,60,204,6,21,48,161,0,0,4,20,0,0,0,0,0,0,0,0,2,8,23,0,0,0,0
2022-05-28,520,3026,2614,14315,437,2904,2153,11186,1,5,259,1877,0,0,0,0,0,0,0,82,117,202,1252,0,0,0,0
2022-05-27,1243,6627,7477,64960,922,6066,6042,51752,6,12,798,8123,0,0,0,0,9,0,0,306,540,637,5085,0,0,0,0
2022-05-26,601,1882,5197,36923,398,1667,4240,29815,7,8,603,4198,0,0,0,0,9,2,0,187,198,352,2910,0,0,0,0
2022-05-25,504,956,4633,39092,313,581,3893,31763,8,14,417,4414,0,0,0,0,6,0,0,177,355,322,2915,0,0,1,0
2022-05-24,416,696,4221,45361,250,359,3441,36896,5,8,407,5012,0,0,0,0,3,0,0,158,326,373,3453,0,0,0,0
2022-05-23,489,755,5417,35885,286,400,4443,28356,7,4,518,4596,0,0,0,0,6,1,0,190,345,455,2933,0,0,0,0
2022-05-22,6,11,62,237,3,6,53,179,0,0,5,31,0,0,0,0,0,0,0,3,5,4,27,0,0,0,0
2022-05-21,529,773,2985,19895,429,536,2448,15774,1,8,323,2633,0,0,0,0,3,0,0,96,226,214,1488,0,0,0,0
2022-05-20,1148,1914,8749,93135,825,1163,7129,75685,4,28,858,11146,0,0,0,0,5,0,0,314,718,761,6304,0,0,1,0
2022-05-19,506,846,5941,53899,317,446,4914,44343,3,28,574,5907,0,0,0,0,4,0,1,182,368,453,3648,0,0,0,0
2022-05-18,534,761,5635,57452,335,381,4719,47772,3,5,471,6225,0,0,0,0,10,1,0,186,365,444,3455,0,0,0,0
2022-05-17,521,679,5413,69650,252,310,4530,58472,2,48,478,6841,0,0,0,0,3,1,0,264,318,404,4337,0,0,0,0
2022-05-16,574,761,6811,55584,369,409,5710,44898,6,12,568,6762,0,0,0,0,4,0,0,195,336,533,3924,0,0,0,0
2022-05-15,9,7,62,414,8,3,51,325,0,0,7,45,0,0,0,0,0,0,0,1,4,4,44,0,0,0,0
2022-05-14,705,740,3590,31840,575,503,3090,25839,2,5,290,3960,0,0,0,0,1,0,0,127,231,210,2041,0,0,0,0
